品牌,车型,日期,销售量
宝马,X1,2018-07-01,6940
宝马,X1,2018-08-01,8077
宝马,X1,2018-09-01,8775
宝马,X1,2018-10-01,8962
宝马,X1,2018-11-01,9254
宝马,X1,2018-12-01,7652
宝马,X1,2019-01-01,9856
宝马,X1,2019-02-01,7052
宝马,X1,2019-03-01,6866
宝马,X1,2019-04-01,7397
宝马,X1,2019-05-01,8746
宝马,X1,2019-06-01,8389
宝马,X1,2019-07-01,8800
宝马,X1,2019-08-01,8259
宝马,5系,2007-01-01,1620
宝马,5系,2007-02-01,1115
宝马,5系,2007-03-01,1721
宝马,5系,2007-04-01,1963
宝马,5系,2007-05-01,1333
宝马,5系,2007-06-01,1582
宝马,5系,2007-07-01,1250
宝马,5系,2007-08-01,1553
宝马,5系,2007-09-01,1507
宝马,5系,2007-10-01,1440
宝马,5系,2007-11-01,1886
宝马,5系,2007-12-01,2232
宝马,5系,2008-01-01,1733
宝马,5系,2008-02-01,1064
宝马,5系,2008-03-01,1825
宝马,5系,2008-04-01,1392
宝马,5系,2008-05-01,1298
宝马,5系,2008-06-01,1853
宝马,5系,2008-07-01,1536
宝马,5系,2008-08-01,1728
宝马,5系,2008-09-01,2465
宝马,5系,2008-10-01,2605
宝马,5系,2008-11-01,2164
宝马,5系,2008-12-01,2039
宝马,5系,2009-01-01,1783
宝马,5系,2009-02-01,1424
宝马,5系,2009-03-01,1781
宝马,5系,2009-04-01,2319
宝马,5系,2009-05-01,2636
宝马,5系,2009-06-01,2543
宝马,5系,2009-07-01,2595
宝马,5系,2009-08-01,2545
宝马,5系,2009-09-01,3194
宝马,5系,2009-10-01,2361
宝马,5系,2009-11-01,2248
宝马,5系,2009-12-01,2194
宝马,5系,2010-01-01,2052
宝马,5系,2010-02-01,2090
宝马,5系,2010-03-01,3879
宝马,5系,2010-04-01,2650
宝马,5系,2010-05-01,2797
宝马,5系,2010-06-01,3099
宝马,5系,2010-07-01,3260
宝马,5系,2010-08-01,4426
宝马,5系,2010-09-01,2978
宝马,5系,2010-10-01,3827
宝马,5系,2010-11-01,5051
宝马,5系,2010-12-01,4910
宝马,5系,2011-01-01,6749
宝马,5系,2011-02-01,4207
宝马,5系,2011-03-01,5797
宝马,5系,2011-04-01,5332
宝马,5系,2011-05-01,5717
宝马,5系,2011-06-01,5539
宝马,5系,2011-07-01,5310
宝马,5系,2011-08-01,5297
宝马,5系,2011-09-01,5029
宝马,5系,2011-10-01,5517
宝马,5系,2011-11-01,5296
宝马,5系,2011-12-01,5704
宝马,5系,2012-01-01,6605
宝马,5系,2012-02-01,5991
宝马,5系,2012-03-01,8206
宝马,5系,2012-04-01,8129
宝马,5系,2012-05-01,11042
宝马,5系,2012-06-01,9572
宝马,5系,2012-07-01,9226
宝马,5系,2012-08-01,10900
宝马,5系,2012-09-01,9857
宝马,5系,2012-10-01,7872
宝马,5系,2012-11-01,9511
宝马,5系,2012-12-01,9028
宝马,5系,2013-01-01,11561
宝马,5系,2013-02-01,8299
宝马,5系,2013-03-01,10807
宝马,5系,2013-04-01,11206
宝马,5系,2013-05-01,11016
宝马,5系,2013-06-01,10886
宝马,5系,2013-07-01,11568
宝马,5系,2013-08-01,12551
宝马,5系,2013-09-01,8491
宝马,5系,2013-10-01,8601
宝马,5系,2013-11-01,9059
宝马,5系,2013-12-01,9807
宝马,5系,2014-01-01,12269
宝马,5系,2014-02-01,9670
宝马,5系,2014-03-01,12296
宝马,5系,2014-04-01,12420
宝马,5系,2014-05-01,12127
宝马,5系,2014-06-01,13027
宝马,5系,2014-07-01,11533
宝马,5系,2014-08-01,10794
宝马,5系,2014-09-01,11294
宝马,5系,2014-10-01,10798
宝马,5系,2014-11-01,11858
宝马,5系,2014-12-01,10395
宝马,5系,2015-01-01,16686
宝马,5系,2015-02-01,10123
宝马,5系,2015-03-01,12039
宝马,5系,2015-04-01,10714
宝马,5系,2015-05-01,10569
宝马,5系,2015-06-01,12295
宝马,5系,2015-07-01,12507
宝马,5系,2015-08-01,13097
宝马,5系,2015-09-01,13839
宝马,5系,2015-10-01,11014
宝马,5系,2015-11-01,14241
宝马,5系,2015-12-01,10078
宝马,5系,2016-01-01,10837
宝马,5系,2016-02-01,6315
宝马,5系,2016-03-01,12445
宝马,5系,2016-04-01,12062
宝马,5系,2016-05-01,13429
宝马,5系,2016-06-01,14345
宝马,5系,2016-07-01,12193
宝马,5系,2016-08-01,12903
宝马,5系,2016-09-01,14908
宝马,5系,2016-10-01,11344
宝马,5系,2016-11-01,12912
宝马,5系,2016-12-01,9933
宝马,5系,2017-01-01,12227
宝马,5系,2017-02-01,11778
宝马,5系,2017-03-01,11315
宝马,5系,2017-04-01,13896
宝马,5系,2017-05-01,4694
宝马,5系,2017-06-01,5275
宝马,5系,2017-07-01,8393
宝马,5系,2017-08-01,7979
宝马,5系,2017-09-01,11115
宝马,5系,2017-10-01,11099
宝马,5系,2017-11-01,12121
宝马,5系,2017-12-01,11093
宝马,5系,2018-01-01,14147
宝马,5系,2018-02-01,6148
宝马,5系,2018-03-01,13091
宝马,5系,2018-04-01,12709
宝马,5系,2018-05-01,11243
宝马,5系,2018-06-01,11742
宝马,5系,2018-07-01,13230
宝马,5系,2018-08-01,12210
宝马,5系,2018-09-01,13222
宝马,5系,2018-10-01,13887
宝马,5系,2018-11-01,13967
宝马,5系,2018-12-01,10376
宝马,5系,2019-01-01,12224
宝马,5系,2019-02-01,8622
宝马,5系,2019-03-01,11589
宝马,5系,2019-04-01,13334
宝马,5系,2019-05-01,15806
宝马,5系,2019-06-01,14144
宝马,5系,2019-07-01,14891
宝马,5系,2019-08-01,15467
奔驰,V级,2016-03-01,101
奔驰,V级,2016-04-01,487
奔驰,V级,2016-05-01,628
奔驰,V级,2016-06-01,648
奔驰,V级,2016-07-01,661
奔驰,V级,2016-08-01,816
奔驰,V级,2016-09-01,743
奔驰,V级,2016-10-01,752
奔驰,V级,2016-11-01,823
奔驰,V级,2016-12-01,263
奔驰,V级,2017-01-01,916
奔驰,V级,2017-02-01,602
奔驰,V级,2017-03-01,873
奔驰,V级,2017-04-01,882
奔驰,V级,2017-05-01,1055
奔驰,V级,2017-06-01,1118
奔驰,V级,2017-07-01,1110
奔驰,V级,2017-08-01,1122
奔驰,V级,2017-09-01,1357
奔驰,V级,2017-10-01,937
奔驰,V级,2017-11-01,1259
奔驰,V级,2017-12-01,1126
奔驰,V级,2018-01-01,1813
奔驰,V级,2018-02-01,532
奔驰,V级,2018-03-01,1523
奔驰,V级,2018-04-01,1526
奔驰,V级,2018-05-01,1615
奔驰,V级,2018-06-01,1318
奔驰,V级,2018-07-01,1183
奔驰,V级,2018-08-01,1177
奔驰,V级,2018-09-01,1738
奔驰,V级,2018-10-01,1444
奔驰,V级,2018-11-01,1092
奔驰,V级,2018-12-01,1688
奔驰,V级,2019-01-01,1062
奔驰,V级,2019-02-01,731
奔驰,V级,2019-03-01,1628
奔驰,V级,2019-04-01,1246
奔驰,V级,2019-05-01,1296
奔驰,V级,2019-06-01,1385
奔驰,V级,2019-07-01,1440
奔驰,V级,2019-08-01,1612
东风启辰,T70,2015-01-01,2238
东风启辰,T70,2015-02-01,2694
东风启辰,T70,2015-03-01,6813
东风启辰,T70,2015-04-01,5098
东风启辰,T70,2015-05-01,6231
东风启辰,T70,2015-06-01,6486
东风启辰,T70,2015-07-01,3278
东风启辰,T70,2015-08-01,5089
东风启辰,T70,2015-09-01,5237
东风启辰,T70,2015-10-01,6743
东风启辰,T70,2015-11-01,6398
东风启辰,T70,2015-12-01,8767
东风启辰,T70,2016-01-01,6467
东风启辰,T70,2016-02-01,3181
东风启辰,T70,2016-03-01,5634
东风启辰,T70,2016-04-01,4409
东风启辰,T70,2016-05-01,5793
东风启辰,T70,2016-06-01,6081
东风启辰,T70,2016-07-01,3441
东风启辰,T70,2016-08-01,4409
东风启辰,T70,2016-09-01,7382
东风启辰,T70,2016-10-01,7465
东风启辰,T70,2016-11-01,8373
东风启辰,T70,2016-12-01,9764
东风启辰,T70,2017-01-01,5474
东风启辰,T70,2017-02-01,4490
东风启辰,T70,2017-03-01,5470
东风启辰,T70,2017-04-01,5019
东风启辰,T70,2017-05-01,2486
东风启辰,T70,2017-06-01,4083
东风启辰,T70,2017-07-01,2722
东风启辰,T70,2017-08-01,3122
东风启辰,T70,2017-09-01,4834
东风启辰,T70,2017-10-01,4642
东风启辰,T70,2017-11-01,2984
东风启辰,T70,2017-12-01,7314
东风启辰,T70,2018-01-01,6482
东风启辰,T70,2018-02-01,3425
东风启辰,T70,2018-03-01,3883
东风启辰,T70,2018-04-01,3298
东风启辰,T70,2018-05-01,2906
东风启辰,T70,2018-06-01,2039
东风启辰,T70,2018-07-01,1347
东风启辰,T70,2018-08-01,1485
东风启辰,T70,2018-09-01,2649
东风启辰,T70,2018-10-01,2406
东风启辰,T70,2018-11-01,3517
东风启辰,T70,2018-12-01,3328
东风启辰,T70,2019-01-01,2187
东风启辰,T70,2019-02-01,888
东风启辰,T70,2019-03-01,2285
东风启辰,T70,2019-04-01,809
东风启辰,T70,2019-05-01,677
东风启辰,T70,2019-06-01,903
东风启辰,T70,2019-07-01,866
东风启辰,T70,2019-08-01,972
东风启辰,R30,2014-07-01,1662
东风启辰,R30,2014-08-01,2556
东风启辰,R30,2014-09-01,3393
东风启辰,R30,2014-10-01,2079
东风启辰,R30,2014-11-01,2154
东风启辰,R30,2014-12-01,2364
东风启辰,R30,2015-01-01,1465
东风启辰,R30,2015-02-01,596
东风启辰,R30,2015-03-01,677
东风启辰,R30,2015-04-01,623
东风启辰,R30,2015-05-01,565
东风启辰,R30,2015-06-01,419
东风启辰,R30,2015-07-01,618
东风启辰,R30,2015-08-01,337
东风启辰,R30,2015-09-01,488
东风启辰,R30,2015-10-01,777
东风启辰,R30,2015-11-01,517
东风启辰,R30,2015-12-01,652
东风启辰,R30,2016-01-01,643
东风启辰,R30,2016-02-01,190
东风启辰,R30,2016-03-01,458
东风启辰,R30,2016-04-01,336
东风启辰,R30,2016-05-01,248
东风启辰,R30,2016-06-01,248
东风启辰,R30,2016-07-01,111
东风启辰,R30,2016-08-01,160
东风启辰,R30,2016-09-01,154
东风启辰,R30,2016-10-01,199
东风启辰,R30,2016-11-01,4
东风启辰,R30,2017-04-01,4
东风启辰,R30,2017-06-01,1
东风启辰,D60,2017-11-01,7821
东风启辰,D60,2017-12-01,10010
东风启辰,D60,2018-01-01,8684
东风启辰,D60,2018-02-01,5041
东风启辰,D60,2018-03-01,6493
东风启辰,D60,2018-04-01,5602
东风启辰,D60,2018-05-01,4876
东风启辰,D60,2018-06-01,5237
东风启辰,D60,2018-07-01,2814
东风启辰,D60,2018-08-01,3343
东风启辰,D60,2018-09-01,4279
东风启辰,D60,2018-10-01,7122
东风启辰,D60,2018-11-01,4742
东风启辰,D60,2018-12-01,6639
东风启辰,D60,2019-01-01,6597
东风启辰,D60,2019-02-01,3095
东风启辰,D60,2019-03-01,7964
东风启辰,D60,2019-04-01,6221
东风启辰,D60,2019-05-01,5612
东风启辰,D60,2019-06-01,5543
东风启辰,D60,2019-07-01,5597
东风启辰,D60,2019-08-01,5464
东风启辰,T60,2018-11-01,965
东风启辰,T60,2018-12-01,1761
东风启辰,T60,2019-01-01,1612
东风启辰,T60,2019-02-01,535
东风启辰,T60,2019-03-01,1638
东风启辰,T60,2019-04-01,688
东风启辰,T60,2019-05-01,685
东风启辰,T60,2019-06-01,700
东风启辰,T60,2019-07-01,750
东风启辰,T60,2019-08-01,704
东风,俊风,2013-01-01,293
东风,俊风,2013-02-01,220
东风,俊风,2013-03-01,900
东风,俊风,2013-04-01,248
东风,俊风,2013-05-01,274
东风,俊风,2013-06-01,365
东风,俊风,2013-07-01,191
东风,俊风,2013-08-01,210
东风,俊风,2013-09-01,154
东风,俊风,2013-10-01,66
东风,俊风,2013-11-01,840
东风,俊风,2013-12-01,1488
东风,俊风,2014-01-01,239
东风,俊风,2014-02-01,145
东风,俊风,2014-03-01,113
东风,俊风,2014-04-01,100
东风,俊风,2014-05-01,33
东风,俊风,2014-06-01,87
东风,俊风,2014-07-01,215
东风,俊风,2014-08-01,29
东风,俊风,2014-09-01,15
东风,俊风,2014-10-01,49
东风,俊风,2014-11-01,72
东风,俊风,2015-01-01,6
东风,俊风,2015-07-01,11
东风,俊风,2016-01-01,428
东风,俊风,2016-09-01,800
东风,俊风,2016-10-01,1101
东风,俊风,2016-11-01,1405
东风,俊风,2016-12-01,467
东风,俊风,2017-03-01,601
东风,俊风,2017-04-01,900
东风,俊风,2017-05-01,500
东风,俊风,2017-06-01,1000
东风,俊风,2017-07-01,700
东风,俊风,2017-08-01,909
东风,俊风,2017-09-01,909
东风,俊风,2017-10-01,819
东风,俊风,2017-11-01,406
东风,俊风,2017-12-01,697
东风,俊风,2018-02-01,16
东风,俊风,2018-03-01,1
东风,俊风,2018-05-01,246
东风,俊风,2018-06-01,1247
东风,俊风,2018-07-01,484
东风,俊风,2018-08-01,2639
东风,俊风,2018-09-01,3474
东风,俊风,2018-10-01,2872
东风,俊风,2018-11-01,4142
东风,俊风,2018-12-01,4104
东风,俊风,2019-01-01,200
东风,俊风,2019-03-01,161
东风,俊风,2019-04-01,703
东风,俊风,2019-05-01,1321
东风,俊风,2019-06-01,1369
东风,俊风,2019-07-01,386
东风,俊风,2019-08-01,1308
东风启辰,晨风,2014-09-01,85
东风启辰,晨风,2014-10-01,90
东风启辰,晨风,2014-11-01,102
东风启辰,晨风,2014-12-01,221
东风启辰,晨风,2015-01-01,26
东风启辰,晨风,2015-02-01,7
东风启辰,晨风,2015-03-01,39
东风启辰,晨风,2015-04-01,35
东风启辰,晨风,2015-05-01,92
东风启辰,晨风,2015-06-01,108
东风启辰,晨风,2015-07-01,85
东风启辰,晨风,2015-08-01,117
东风启辰,晨风,2015-09-01,119
东风启辰,晨风,2015-10-01,83
东风启辰,晨风,2015-11-01,121
东风启辰,晨风,2015-12-01,295
东风启辰,晨风,2016-01-01,110
东风启辰,晨风,2016-02-01,60
东风启辰,晨风,2016-03-01,304
东风启辰,晨风,2016-04-01,304
东风启辰,晨风,2016-05-01,274
东风启辰,晨风,2016-06-01,295
东风启辰,晨风,2016-07-01,97
东风启辰,晨风,2016-08-01,23
东风启辰,晨风,2016-11-01,167
东风启辰,晨风,2016-12-01,282
东风启辰,晨风,2017-06-01,4
东风风神,A30,2014-08-01,307
东风风神,A30,2014-09-01,1317
东风风神,A30,2014-10-01,2800
东风风神,A30,2014-11-01,2451
东风风神,A30,2014-12-01,3162
东风风神,A30,2015-01-01,2689
东风风神,A30,2015-02-01,1523
东风风神,A30,2015-03-01,1308
东风风神,A30,2015-04-01,897
东风风神,A30,2015-05-01,493
东风风神,A30,2015-06-01,406
东风风神,A30,2015-07-01,269
东风风神,A30,2015-08-01,380
东风风神,A30,2015-09-01,1054
东风风神,A30,2015-10-01,1047
东风风神,A30,2015-11-01,897
东风风神,A30,2015-12-01,658
东风风神,A30,2016-01-01,864
东风风神,A30,2016-02-01,335
东风风神,A30,2016-03-01,370
东风风神,A30,2016-04-01,167
东风风神,A30,2016-05-01,255
东风风神,A30,2016-06-01,429
东风风神,A30,2016-07-01,319
东风风神,A30,2016-08-01,186
东风风神,A30,2016-09-01,278
东风风神,A30,2016-10-01,538
东风风神,A30,2016-11-01,427
东风风神,A30,2016-12-01,370
东风风神,A30,2017-01-01,247
东风风神,A30,2017-02-01,49
东风风神,A30,2017-03-01,256
东风风神,A30,2017-04-01,256
东风风神,A30,2017-05-01,138
东风风神,A30,2017-06-01,165
东风风神,A30,2017-07-01,168
东风风神,A30,2017-08-01,56
东风风神,A30,2017-09-01,112
东风风神,A30,2017-10-01,61
东风风神,A30,2017-11-01,272
东风风神,A30,2017-12-01,123
东风风神,A30,2018-01-01,18
东风风神,A30,2018-02-01,5
东风风神,A30,2018-03-01,3
东风风神,A30,2018-04-01,9
东风风神,A30,2018-05-01,2
东风风神,A30,2018-06-01,4
东风风神,A30,2018-07-01,7
东风风神,A30,2018-08-01,10
东风风神,A30,2018-09-01,5
东风风神,A30,2018-11-01,104
东风风神,A30,2018-12-01,152
东风风神,A30,2019-01-01,1
东风风神,A30,2019-07-01,15
东风风神,东风A9,2016-04-01,148
东风风神,东风A9,2016-05-01,58
东风风神,东风A9,2016-06-01,48
东风风神,东风A9,2016-07-01,546
东风风神,东风A9,2016-08-01,103
东风风神,东风A9,2016-09-01,188
东风风神,东风A9,2016-10-01,90
东风风神,东风A9,2016-11-01,137
东风风神,东风A9,2016-12-01,161
东风风神,东风A9,2017-01-01,97
东风风神,东风A9,2017-02-01,83
东风风神,东风A9,2017-03-01,110
东风风神,东风A9,2017-04-01,134
东风风神,东风A9,2017-05-01,114
东风风神,东风A9,2017-06-01,163
东风风神,东风A9,2017-07-01,125
东风风神,东风A9,2017-08-01,179
东风风神,东风A9,2017-09-01,219
东风风神,东风A9,2017-10-01,103
东风风神,东风A9,2017-11-01,104
东风风神,东风A9,2018-01-01,77
东风风神,东风A9,2018-02-01,14
东风风神,东风A9,2018-03-01,21
东风风神,东风A9,2018-04-01,24
东风风神,东风A9,2018-05-01,22
东风风神,东风A9,2018-06-01,23
东风风神,东风A9,2018-07-01,12
东风风神,东风A9,2018-08-01,8
东风风神,东风A9,2018-09-01,1
东风风神,东风A9,2018-10-01,20
东风风神,东风A9,2018-11-01,15
东风风神,东风A9,2018-12-01,20
东风风神,东风A9,2019-01-01,5
东风风神,东风A9,2019-02-01,3
东风风神,东风A9,2019-03-01,90
东风风神,东风A9,2019-04-01,129
东风风神,东风A9,2019-06-01,4
知豆,知豆D2S,2019-02-01,485
知豆,知豆D2S,2019-03-01,650
知豆,知豆D2S,2019-04-01,420
知豆,知豆D2S,2019-05-01,345
知豆,知豆D2S,2019-06-01,105
知豆,知豆D2S,2019-07-01,90
长安新能源,逸动PHEV,2018-03-01,5
长安新能源,逸动PHEV,2018-04-01,70
长安新能源,逸动PHEV,2018-05-01,85
长安新能源,逸动PHEV,2018-06-01,664
长安新能源,逸动PHEV,2018-07-01,497
长安新能源,逸动PHEV,2018-08-01,352
长安新能源,逸动PHEV,2018-09-01,13
长安新能源,逸动PHEV,2018-10-01,31
长安新能源,逸动PHEV,2018-11-01,9
长安新能源,逸动PHEV,2018-12-01,324
长安新能源,逸动EV460,2018-03-01,69
长安新能源,逸动EV460,2018-04-01,275
长安新能源,逸动EV460,2018-05-01,153
长安新能源,逸动EV460,2018-06-01,1753
长安新能源,逸动EV460,2018-07-01,925
长安新能源,逸动EV460,2018-08-01,1037
长安新能源,逸动EV460,2018-09-01,276
长安新能源,逸动EV460,2018-10-01,268
长安新能源,逸动EV460,2018-11-01,837
长安新能源,逸动EV460,2018-12-01,1601
长安新能源,逸动EV460,2019-01-01,2049
长安新能源,逸动EV460,2019-02-01,1239
长安新能源,逸动EV460,2019-03-01,3426
长安新能源,逸动EV460,2019-04-01,647
长安新能源,逸动EV460,2019-05-01,1892
长安新能源,逸动EV460,2019-06-01,7340
长安新能源,逸动EV460,2019-07-01,682
长安新能源,逸动EV460,2019-08-01,1075
东风风行,景逸X3,2015-03-01,6400
东风风行,景逸X3,2015-04-01,5522
东风风行,景逸X3,2015-05-01,5902
东风风行,景逸X3,2015-06-01,3584
东风风行,景逸X3,2015-07-01,4349
东风风行,景逸X3,2015-08-01,4220
东风风行,景逸X3,2015-09-01,6878
东风风行,景逸X3,2015-10-01,5580
东风风行,景逸X3,2015-11-01,3968
东风风行,景逸X3,2015-12-01,6024
东风风行,景逸X3,2016-01-01,8905
东风风行,景逸X3,2016-02-01,3624
东风风行,景逸X3,2016-03-01,4478
东风风行,景逸X3,2016-04-01,2918
东风风行,景逸X3,2016-05-01,3419
东风风行,景逸X3,2016-06-01,2067
东风风行,景逸X3,2016-07-01,1600
东风风行,景逸X3,2016-08-01,2570
东风风行,景逸X3,2016-09-01,3130
东风风行,景逸X3,2016-10-01,3901
东风风行,景逸X3,2016-11-01,3080
东风风行,景逸X3,2016-12-01,2624
东风风行,景逸X3,2017-01-01,3121
东风风行,景逸X3,2017-02-01,3467
东风风行,景逸X3,2017-03-01,3929
东风风行,景逸X3,2017-04-01,2259
东风风行,景逸X3,2017-05-01,2123
东风风行,景逸X3,2017-06-01,2512
东风风行,景逸X3,2017-07-01,2382
东风风行,景逸X3,2017-08-01,3728
东风风行,景逸X3,2017-09-01,5363
东风风行,景逸X3,2017-10-01,9764
长安轻型车,睿行ES30,2019-06-01,10
长安轻型车,睿行ES30,2019-08-01,26
长安轻型车,睿行S50,2018-09-01,484
长安轻型车,睿行S50,2018-10-01,488
长安轻型车,睿行S50,2018-11-01,450
长安轻型车,睿行S50,2018-12-01,771
长安轻型车,睿行S50,2019-01-01,313
长安轻型车,睿行S50,2019-02-01,531
长安轻型车,睿行S50,2019-03-01,865
长安轻型车,睿行S50,2019-04-01,802
长安轻型车,睿行S50,2019-05-01,651
长安轻型车,睿行S50,2019-06-01,562
长安轻型车,睿行S50,2019-07-01,429
长安轻型车,睿行S50,2019-08-01,363
大众,凌渡,2014-11-01,28
大众,凌渡,2014-12-01,1
大众,凌渡,2015-01-01,5760
大众,凌渡,2015-02-01,10153
大众,凌渡,2015-03-01,5745
大众,凌渡,2015-04-01,6860
