招聘岗位,工作职责,工作要求
18432-微黄金产品运营经理,1. 负责微黄金业务的日常运营及节日运营，能够把握关键点，通过运营策略达到业务目标；\n2. 负责微黄金业务的用户运营，用户分层运营，通过用户教育、用户关怀及营销活动等策略提升用户留存及转化；\n3. 跟进内外渠道合作落地及效果反馈，高效沟通，推进合作，确保结果；\n4. 对数据敏感，善于运用数据进行分析和总结经验，调整运营策略，服务业务目标,1. 全日制本科及以上学历；\n2. 3年互联网公司产品运营经验，有互联网金融产品运营经验者优先；\n3. 有责任感，执行力强，有担当，能落地，对结果负责；\n4. 善于思考和学习，能够保持行业敏感性。
18432-微黄金产品经理,1、负责微黄金的产品策划和策略制定，包括产品版本计划、产品功能设计、产品发布跟进、产品优化升级等工作；\r\n2、对产品的用户体验负责，能够深入用户，理解用户使用行为、使用习惯，洞察用户行为背后的需求；\r\n3、跟进产品执行的各个环节，保证项目的高效高质量执行，对负责的产品模块进行效果跟踪、数据分析、用户分析，并及时反馈到产品规划中。,1、本科以上学历，三年以上移动产品经验；\n2、对用户体验敏感，热爱接触用户，通过用户运营建立与产品之间的沟通桥梁，帮助提升产品体验和忠实用户维护；数据分析能力和逻辑思维能力强，可以透过数据剖析产品数据背后的原因，并落地到优化实践中；对工作有负责到底的态度，做事细心、踏实，执行力强；善于沟通表达，做事积极主动，懂得团队合作。
18435-反洗钱合规经理（香港）,1.整体负责可疑交易的监控及报告，不断完善相关系统及内部流程、制度；\n2.汇总反洗钱合规需求及追踪落地；\n3.协助合规风险识别、评估，编写各类合规报告；\n4.协助监管政策研究分析，制度反洗钱内部政策并推进落地，开展反洗钱自查；\n5.协助实施业务及运营管理过程中的合规支持与合规审核；\n6.领导交办的其他工作。\n,1.全日制大学本科及以上学历，法律、审计、财务、金融等相关专业；\n2.五年及以上金融类行业反洗钱类工作经验；\n3.熟悉香港与马来西亚反洗钱法规，与香港与马来西亚金融业反洗钱实践，有良好的合规及风险控制意识和较强的分析问题能力；\n4.具有良好的沟通、协调能力，较好的学习能力，诚实并有责任心；\n5.有较好写作能力。
18435-项目经理,1、负责财付通金融支付业务的风控管理项目跟进工作，包括主要里程碑达成，任务执行进展，日常团队沟通工作等； \n2、负责反洗钱及风控各类需求的项目计划的制定、跟踪和维护，确保项目按照计划交付； \n3、负责落地执行各业务流程，做好项目管理类流程的团队适配，组织项目各项评审会议及项目例会； \n4、整理各类项目报告，确保项目有序推进，信息透明。\n,1、本科及以上学历，5年以上项目管理经验；\n2、从事过安全类/支付类/金融类业务经验者优先；\n3、有较强的团队合作，沟通能力和协作意识，抗压能力强；较强的逻辑分析能力，有独立负责项目管理的经验；\n4、具备一定的数据分析基础，具有良好沟通能力；\n5、有相关项目管理资格认证者优先。\n
18425-国际支付业务基础开发高级工程师 (深圳),"负责微信支付香港钱包相关系统的开发;\n参与模块设计开发,业务逻辑开发,银行接入等工作；\n参与相关子系统及业务流程优化重构,研发过程优化工作。","计算机、通信相关专业本科以上学历;\n2年以上linux服务器端软件开发经验;\n编程基本功扎实,精通C/C++,熟悉面向对象技术,设计模式;\n精通TCP/IP协议相关知识及网络编程;\n精通Unix/Linux环境和系统编程，熟悉服务器编程模型；\n精通mysql数据库及相关编程;\n善于沟通及主动思考总结,倡导创新与持续优化,思路周密,代码严谨,对待技术有强烈兴趣;\n有良好的团队合作及抗压能力,有强烈的主人翁意识推进事务进展;\n具备一定架构能力,有大容量、高性能、分布式系统的设计开发经验优先。"
18425-支付项目经理,1、 负责项目资源的协调与组织，确保项目团队各干系人协同工作； \r\n2、 负责项目计划的制定、跟踪和维护，确保项目按计划完成； \r\n3、 负责组织项目各项评审会议及项目例会； \r\n4、 制定并推广项目流程规范，确保项目有序推进。,1、 本科以上学历，3年以上项目管理经验；\n2、 有较强的团队合作，沟通能力和协作意识，抗压能力强；较强的逻辑分析能力，有独立负责项目管理的经验；\n3、 具备一定的数据分析基础，具有良好沟通能力；\n4、 具备英语交流能力者优先。
PCG04-短视频AI评测工程师（深圳总部）,负责短视频业务的评测及工具平台建设工作；\n短视频质量评价体系建设、图像质量评价体系建设，包括但不限于视频内容理解、视频内容质量检测、推荐算法、目标检测追踪、行为分析、图像分割、自动PS等算法质量评测方案设计、工程技术落地工作；\n科学建设视频评价体系，并基于反馈甄别badcase和算法的缺陷，进而对AI产品提出改进意见，优化产品质量,计算机或者图像处理、计算机视觉、模式识别、机器学习等相关专业。三年以上计算机视觉领域相关工作经验，熟悉计算机视觉领域的主流模型和算法，关注领域内的最新进展；\n有良好的计算机专业知识基础，对数据结构、操作系统、算法等专业知识掌握良好，熟练掌握C/C++，Java，Python等至少一门语言，有一定的软件开发项目经验；\n具有扎实的算法基本功、突出的数据、算法分析和归纳能力，对新技术充满好奇心，爱挑战高难度，善于提出idea并能快速动手验证；\n有视频图像、搜索推荐实际应用经验者优先考虑。较好研究成果（学术论文等）者或者在相应竞赛中取得过较好成绩者优先考虑。
PCG04-高级测试开发工程师（深圳）,负责支付、游戏等业务后台、移动端的架构、代码层面的专项分析及优化，包括但不限于性能自动化、接口自动化、可测性分析等质量保障工作；\n结合业务推进测试体系的建设，并配合进行相关工具平台设计及开发工作，加速产品研发效率；\n持续探索引用行业相关测试技术和理念，帮助团队提升质量和效率。,本科及以上学历，计算机或软件相关专业，具备扎实的计算机和软件技术基础；\n至少3年以上的软件开发或者测试开发工作经验；\n熟悉C/C++/Java等至少一种主流编程语言，熟悉至少一门脚本开发语言（如shell、perl、python）；\n具备良好的学习能力、质量保障体系思路、复杂问题定位和分析能力；\n具备创新性思维、较强的抗压能力和技术钻研能力；\n具备后台开发或移动终端开发经验者优先，有优秀工程素养，对持续交付有深入理解和实践经验优先。
PCG04-后端开发工程师（深圳）,负责PCG短视频和媒体分发业务相关工具链平台建设，通过和相关业务系统的对接，挖掘研发流程中的痛点，提炼产品需求，建设工具平台，持续提升研发效率。,本科以上学历，计算机相关专业，3年以上Unix/Linux操作系统下java/go/c++后台开发工作经验；\n有高并发和大规模数据存储（hbase、mangodb、es、redis等）处理经验；\n理解微服务架构，有较好的系统分析架构能力；\n熟悉linux，具备较强的问题定位和分析能力，具备性能优化经验更佳；\n自我驱动，具有较强的抗压和沟通协作能力；\n有devops经验者优先。
PCG04-测试开发工程师（北京）,负责移动端或后台应用的专项测试工作，包括参与需求分析，帮助完善需求与开发设计实现，合理设计测试计划，实施测试活动，跟进缺陷，协助研发分析定位问题。\n负责移动端或后台产品的自动化测试，包括功能接口、性能、稳定性、兼容性等。保障产品全流程的质量和高效交付。\n挖掘研发过程中提升质量和效率的工具需求，完成各类测试工具的架构设计、编码实现和在业务的落地，提升整体研发过程的工作效能。,本科及以上学历，计算机或相关专业；\n2年及以上测试/开发工作经验，具备良好的问题分析能力。\n掌握至少一种编程语言，如C/C++、Java、Python等语言，有相关的项目实战经验。\n具备良好的技术钻研能力、沟通表达能力和独立问题解决能力。\n符合以下条件优先：有移动端或后台自动化测试框架开发、测试工具/平台开发经验优先；有白盒测试开展经验，对研发架构有较深入理解，具备研发架构优化和开发经验优先。
PCG04-短视频高级后台开发工程师（深圳）,负责PCG短视频业务的架构设计、开发和测试；\n参与新系统的需求分析、核心框架及组件的开发以及测试工作；\n优化和改进现有产品以提升用户体验；\n持续从技术上提升服务稳定性、安全性、可用性等技术能力。,本科以上学历，计算机相关专业，3年以上Unix/Linux操作系统下java/go/c++后台开发工作经验；\n熟练掌握java/go/c++中两门语言；\n有高并发和大规模数据存储（hbase、mangodb、es等）处理经验；\n理解微服务架构体系，理解框架设计和系统集成的原则；\n能独立承担任务，具备优秀的分析和解决问题的能力；\n有团队精神，具有良好的沟通能力。\n符合以下条件优先：拥抱DevOps；有短视频产品开发和测试经验；具备良好的性能意识，有性能分析和优化经验
PCG04-web前端高级开发工程师,负责中台工具建设相关平台开发、维护和优化工作，能做出合理的技术解决方案；\n优化和改进现有产品以提升用户体验；,"1、计算机或相关专业、本科及以上学历；三年以上工作经验；基础扎实，熟悉常用的数据结构和算法；掌握操作系统、计算机网络、软件工程等专业知识 \n2、熟悉Web应用系统开发，对HTTP协议及web服务器等有所理解；\n3、对Web标准有良好认识，精通HTML5/JavaScript/CSS3等Web开发技术，熟练掌握至少一款当下主流的前端框架，如Vue、React、angular等；\n4、熟悉一门以上WebServer后台开发语言（如java,nodejs,Python），熟悉数据库操作，具有Linux平台下开发经验者优先；\n5、良好的沟通表达能力和团队合作意识，责任感强，热爱学习，热爱开发工作，拥抱开源技术，能高效配合团队成员，共同完成项目。"
PCG04-测试开发工程师（深圳）,负责机器人（包括Android、iOS端、硬件机器人端）的业务测试工作，从定制计划和方案等到具体实施，保证项目整体质量和进度； \n负责从架构、代码层面的专项分析、评测和优化，包括但不限于性能自动化、接口自动化、可测性分析解决、语音语义评测等质量保障工作；\n结合业务推进自动化体系的建设，加速产品研发效率。,本科及以上学历，计算机或相关专业，具备扎实的计算机和软件技术基础；\n3年及以上测试工作经验，熟练掌握至少一种编程语言，包括但不限于C/C++、Java、Python、Shell等；\n熟悉Android/iOS移动操作系统，具备自动测试工具或性能测试、协议测试，服务器后台测试等经验；\n有相关智能硬件产品开发或者测试经验者优先，例如智能音箱等项目经验；\n热爱软件测试工作，可以胜任重复性工作，工作细致认真，有耐心； \n具备良好的团队合作意识，较强的沟通能力和表达能力。
21882-腾讯医疗产品组长（北京）,负责医疗产品的整体产品规划和策略制定，以及产品团队日常管理；\n带领团队深度研究用户（医生或患者），从而在产品设计、内容选题、表达形式上及时跟进需求，并不断探索创新；\n负责与内容、技术、运营、市场、BD、等团队沟通，确保各team对产品的充分理解，并推动团队协作支持；\n负责带领产品团队达成产品目标；\n了解互联网医疗行业动向，及时、准确地研究、分析竞争对手动态，并提出相应的对策。,本科及以上学历，5年以上互联网平台经验，有医学教育背景或医疗从业背景最佳；\n有优秀的产品聚焦和产品策划意识，熟悉腾讯内部各大产品线；\n对于用户体验有深刻的理解，能够很好的规划和设计产品功能、使用流程与交互体验；\n对医疗行业有情怀与热情。
15851-游戏音频师（深圳）,负责腾讯光子工作室群旗下的：\r\n游戏声音设计；\r\n声音资源的创作和编辑；\r\n音频在游戏中的播放；\r\n给视频配声音。,"-Sound Designers who would like to work in Shenzhen, China;\n愿意在中国深圳工作；\n-Roughly 3-5 years’ industry experience in game audio;\n至少3-5年的游戏音频经验；\n-Professional in game audio sound (sound design, foley, field recording, mixing);\n专攻音频方面（音效设计、拟音、实地录音、混音等）；\n-Familiarity with Wwise;\n熟悉Wwise等；\n-Proficient command of sound design and mixing with a variety of techniques;\n熟练运用多种技术技巧进行音效设计及混音；\n-Experience with the entire game audio design process (sound effect, music, voice over, and middleware implementation);\n参与过游戏音频设计的完整流程（音效、音乐、配音、音频合入等）；\n-Excellent self-motivation and team spirit.\n具备出色的自主学习能力及团队合作精神。"
WXG10-212 企业微信应用市场产品策划经理（广州）,负责企业微信第三应用接入的相关产品工作。 负责第三方应用市场的相关产品策划，包括功能模块的策略制定、功能设计及推动上线等； 负责第三方应用接入的整体规划，细化不同类型应用的接入计划和优先级； 与合作伙伴负责人对接，审视应用的价值和重要性，安排和推动应用快速接入； 理解第三方应用的使用场景和定位，以用户价值和体验思维帮助合作伙伴梳理产品定位、功能框架、交互和体验；, 本科及以上学历，2年以上互联网产品策划工作经验，有企业产品背景更佳； 对用户体验有较深入了解者优先。对移动互联网有很好的理解和兴趣； 很强的逻辑能力、系统思考能力并具优秀产品意识；
WXG11-113 微信读书数据平台开发（广州）,微信读书数据平台开发，负责微信读书数据平台的架构和开发，为统计分析提供基础服务；,热爱互联网，熟悉各种互联网产品，勤奋好学； 计算机、通信、数学相关专业毕业，大学本科以上学历，计算机基础扎实，3年以上工作经验； \n精通 C++/Java/Go 等高级语言编程，具备扎实的分布式系统开发功底；\n熟悉 Hive、MapReduce、Storm、Spark、HBase 等 Hadoop 生态系统；\n熟悉 MySQL、Oracle 等关系型数据库以及 ElesticSearch、Kylin 等 OLAP 分析引擎，具有实际开发经验；\n具有强烈的责任心以及团队合作精神，具有较强沟通能力。\n
WXG10-113 企业微信技术合作中心后台开发工程师（广州）,负责企业微信开放相关的后台研发工作,（1）本科及以上学历；\n（2）1年以上Linux编程经验，对互联网有一定的认识，对工作有激情；\n（3）逻辑思维清晰，数据结构、算法等基础扎实；\n（4）精通C/C++，代码质量高，掌握linux多进程、多线程编程；\n（5）在网络、存储处理等方面有专长；\n（6）对信息安全有一定了解
CSIG07-运营开发工程师（深圳）,负责部门安全类业务支撑系统的开发和维护；\n负责部门创新产品的功能运营开发。,精通PHP，2年以上PHP开发经验，至少熟练掌握使用一种PHP框架；\n熟悉Javascript、CSS、AJAX、JSON、JQuery、HTML5等Web页面技术；\n熟悉linux或者windows环境下web服务架构、mysql及性能调优；\n了解apache/nginx服务器，有C/C++，python编程经验者优先；\n有良好的团队合作能力，善于沟通，具备良好的问题定位分析能力。
CSIG07-WEB前端开发（企业安全方向）,负责部门企业安全的官网开发和维护工作；\n负责部门企业安全类业务项目的前端开发与维护；\n负责部门企业安全项目小程序的前端开发和维护。,"三年以上WEB前端开发经验，精通HTML5/JavaScript/CSS3等Web开发技术； \n熟悉JQuery，bootstrap，vue，react等框架，至少熟练掌握一种以上；\n对Web标准有良好认识，能够高保真还原设计稿，代码风格严谨工整，能够兼容各种浏览器； \n对Web前台的性能优化以及Web常见漏洞有一定的理解和相关实践； \n熟悉mysql，有小程序和后端开发经验者优先(如nodejs或者php);\n有良好的对外沟通和团队协作能力,具备良好的分析解决问题能力。"
CSIG07-企业安全项目经理（深圳）,负责企业安全项目管理工作。负责企业安全项目的全流程交付管理，确保项目顺利按时交付；\n负责企业安全项目计划的制定、跟踪和维护，确保项目按计划完成；\n负责企业安全项目客户关系维护，产品交付计划、沟通、实施、服务等全流程管理；\n负责企业安全项目相关干系人管理维护；\n负责企业安全项目相关的流程规范建设，确保项目有序进行,1、计算机、通信或相关专业本科以上学历；\n2、至少5年以上项目管理经验，2年以上面向企业的解决方案的交付项目管理经验；\n3、至少成功主导完成过一个企业解决方案的研发全部流程和交付全部环节\n4、有较强的文档撰写能力，汇报PPT编写能力，逻辑性强；\n5、具有良好的执行力和责任心，能推动项目团队朝目标前进；\n6、具有丰富的与人沟通、交流和组织能力，出色的团队合作精神；\n7、有安全产品研发和管理经验优先；
PCG15-数据产品经理,1、负责互动视频部各业务的数据治理体系搭建，推进数据体系的优化和完善； \n2、数据产品和工具的设计和落地； \n3、通过数据发现业务和产品中的问题，提出改进策略，并推进落地实施，观测效果反馈；\n4、 规划业务分析点，并负责例行化分析报告和专项分析报告的生产； 能快速了解行业，深入分析行业生态。,1、本科及以上学历，计算机、应用数学、统计等专业硕士优先； \n2、扎实的统计基础，突出的逻辑分析和归纳能力，优秀的业务理解力和洞察力，善于沟通和表达； \n3、掌握从数据埋点到数据可视化各环节的关键技能； 熟练使用sql/R/SPSS等分析工具， 有直播相关行业从业经历者优先； \n4、熟悉Hadoop、Spark、数据集成、数据治理、商业智能分析BI等技术原理，具有实践经验有二年以上互联网行业数据处理、分析经验优先。
21309-深圳市腾讯教育科技有限公司--ABCmouse渠道营销经理,1、制作营销工具和销售工具，赋能代理商，确保产品信息清楚和高效的被沟通。\n2、对接和管理分销商，了解分销商的运行机制，为分销商推广工作提供指导和建议。\n3、 收集幼儿园和机构的需求信息和产品反馈，为产品与市场方案优化提供方向。\n4、针对幼儿园和机构的市场活动设计和执行，促进用户和老师使用我们的产品并成为付费用户。,1、能够独立输出线下渠道推广需要的营销工具包，赋能商务在1对1 拜访和会议销售中清楚和高效的进行沟通。\n2、具有分销商管理经验，能够及时掌握分销商的运行机制和一线情况，指导分销商更好的开展业务。\n3、具有线下渠道的活动和推广经验。\n4、具有教育行业背景优先。\n5、思路清楚，表达流利。\n6、具有良好的自驱性。\n7、工作经验3年以上。\n注：此岗位为腾讯旗下全资子公司编制岗位
21309-深圳市腾讯教育科技有限公司--广告投放优化师,1、负责K12在线教育产品线上广告投放，分析与研究推广数据和效果；\n2.、主要负责广点通、微信朋友圈、今日头条广告的投放；\n3、对所负责的投放的广告素材和优化；\n4、监控和研究竞争对手推广策略，不断优化ROI。\n5、有较强的的沟通、协调、决策能力，具有团队合作精神。,1、本科及以上，有广点通，微信朋友圈、今日头条等广告投放的经验，有过实际操作案例，月消耗百万优先；\n2、有线上活动运营经验，熟悉互联网传播方式；\n3、对移动K12在线教育兴趣浓厚，会PS、excel、PPT、视频剪辑等基本办公软件；\n4、学习与沟通能力强，抗压能力强，执行力强，在乎细节;\n5、有创造力，有好的审美和开放视野\n注：此岗位为腾讯旗下全资子公司编制岗位
PCG14-流量生态后台开发工程师（深圳）,岗位职责:负责应用宝流量生态的高性能后台服务开发;\n负责应用宝后台流量生态推荐工程侧服务开发，商店数据源，模拟下载器，消息通道服务工程建设;\n负责通用业务组件的设计、开发和维护\n,"一、基本技能要求\n 1、熟练掌握C、C++语法，深入理解其特性。（熟练使用python、go等语言并开发过相应项目优先）\n 2、熟悉常用数据结构(BTree、堆、栈等)\u0026算法(单模式匹配、多模式匹配等查找算法)\n 3、熟练掌握SQL语言，能够对数据库、SQL进行基本的调优。\n 4、熟练掌握HTTP/HTTPS、理解TCP/IP等协议。\n 5、良好的调试功底，能熟练使用GDB工具，能独立分析coredump并找出原因。\n\n 二、进阶技能要求\n 1、熟悉Redis、MemCache、Nginx、Zookeeper等开源组件的工作原理\n 2、能合理设计Cache来提升服务性能\n 3、海量服务系统架构设计和调优能力\n 4、线上问题的分析解决能力\n 5、单机性能分析和优化能力（有valgrind、perf、GDB 工具使用经验者；或类似优化经验者佳）\n\n 三、通用能力\n 1、良好的沟通能力,前后逻辑清晰\n 2、具有一定的产品理解能力\n 3、良好的团队合作意识，能打好配合\n 4、有从事过商业化或者广告相关工作经验者优先\n"
27092-应用宝渠道管理经理（深圳）,应用宝商业化广告代理商体系运营管理；\n基于业务需求，制定代理商驱动策略，以项目管理方式进行监控、执行和考核管理。\n联动行业商务及运营团队，驱动代理商进行行业重点客户服务及重点行业拓展渗透。\n根据业务发展不断完善代理商体系，梳理和建立代理商内外业务协同流程。\n,本科及以上学历，3年以上工作经验；\n具备渠道管理、销售管理经验优先；\n善于数据分析，基于数据提炼总结，对效果广告及商业化有一定见解；\n积极主动，能承受一定工作压力，沟通能力与执行力强。\n
PCG14-腾讯手游助手后台开发（深圳）,负责手游助手平台的高性能后台服务开发，需要参与后台架构设计和性能稳定优化\n负责手游助手后台业务组件的开发和维护,本科及以上学历，计算机相关专业，3年及以上相关工作经验；\n精通Node.js后端Server研发，具有丰富的服务高并发、性能分析调优、后端服务架构经验；\n熟悉服务端开发(cgi、asp、net、php、jsp)，并具有3年及以上linux等相关平台下开发经验；\n对数据库（mysql / mongodb / sqlite3 / sqlserver）熟练掌握，有相关性能调优者优先；\n有web前端开发经验者优先；\n具备良好的责任心与工作激情，团队合作能力强。
19332-产品运营经理（客户运营）（上海）,负责企业级SaaS产品的运营及重点客户管理工作，包括产品灰度、产品发布、产品改进需求引入、用户关系管理、运营数据分析等，通过运营达成客户活跃度、健康度与满意度提升的业务目标； \n同时肩负运营创新与运营手段的拓展，跨部门的工作协同与问题解决，将产品的能力与为客户业务带来价值的能力对应起来，在熟捻客户的业务场景的基础上，保证高优先级需求的顺利交付。,本科及以上学历； \n5年以上企业级产品的策划、开发、运营及项目管理的经验； \n具备良好的组织能力及沟通执行能力； \n熟悉企业的市场、营销、服务等部门的业务场景，有较强的数据分析、需求分析、产品PRD的撰写能力； \n有强烈的责任感及上进心，抗压能力强； \n有较强的学习能力和自我驱动的意识；\n有技术背景及管理岗位经验者优先考虑。
30361-语义分割算法研究员,1. 负责视频，图像精细化人景分离算法的技术研究和项目落地；,1. 计算机/电子信息/数学相关专业，硕士及以上学历\n2. 精通图像处理、语义分割理论和算法，尤其对视频中的人像分割场景，有很好的研究积累和创新能力；\n3. 熟悉OpenCV，精通Caffe/ MXNet /Pytorch/TensorFlow等计算机视觉框架的其中一种开源深度学习框架；\n4. 极佳的工程实现能力，有过知名产品落地经验；\n5. 研究能力强，如在CVPR/ICCV/ECCV/NIPS/ICML/SIGGRAPH等会议上发表过论文优先考虑
18428-财付通清算业务后台开发工程师（深圳）,负责财付通清算业务的后台研发;\n参与付款系统的设计开发，维护各大银行的渠道，优化微信个人提现、理财通赎回等业务的到账时效性；\n优化付款系统的架构，提升性能和可靠性;,"计算机、通信相关专业本科以上学历; 2年以上相关工作经验；\r\n 1. 精通C/C++，精通linux下后台开发，熟练使用常用的shell命令\r\n 2. 精通mysql数据库及相关编程;\r\n 3. 熟悉面向对象技术,设计模式;\r\n 4. 具备一定架构能力，具备网络编程经验，熟悉多线程开发模式;\r\n 5. 有银行、电信计费批处理软件开发经验优先;有大容量、高性能系统的设计开发经验优先;"
